122 93 322 289
69 7 301 52
261 374 322 497
223 98 240 397
26 79 151 306
27 27 261 405
61 99 255 258
229 170 231 328
23 100 91 314
170 166 283 256
243 156 291 328
28 211 133 490
226 135 262 476
6 84 63 483
68 39 283 181
229 173 305 252
17 114 296 420
167 233 200 300
51 190 271 473
0 37 294 476
137 45 298 413
99 73 237 341
82 23 302 203
34 241 136 465
95 266 248 491
96 431 195 444
25 187 248 244
173 135 176 304
132 18 186 429
89 327 296 368
96 9 109 509
71 376 201 451
55 358 78 364
64 216 79 253
68 181 174 238
99 17 243 325
43 137 277 447
112 299 171 302
29 215 84 439
6 76 301 184
183 174 212 387
59 145 102 321
205 82 321 92
47 46 56 354
143 352 281 381
63 9 277 321
37 132 41 303
111 70 270 368
109 24 309 288
36 131 204 381
27 53 108 439
241 164 245 261
111 38 323 85
26 8 234 93
193 165 226 327
166 58 261 472
225 82 298 382
91 231 106 297
21 245 148 374
101 70 128 265
205 23 322 310
233 322 268 371
25 12 79 128
89 104 177 396
160 166 248 492
5 174 135 369
82 215 254 444
113 183 213 377
59 16 155 371
155 218 274 322
38 407 249 501
194 402 214 495
50 76 270 94
6 293 98 429
122 26 214 67
194 224 254 419
152 187 200 345
116 360 219 438
257 402 292 475
124 97 234 292
179 80 241 215
68 198 131 508
60 323 66 480
245 171 322 372
66 294 211 496
89 106 157 434
232 242 274 464
140 405 215 459
46 112 157 136
146 128 282 200
239 27 241 313
22 1 74 49
179 251 208 472
241 40 271 464
214 163 276 312
274 125 319 197
128 147 160 316
183 229 245 386
39 310 274 353
92 85 279 171
